Order_ID,Product,Category,Quantity,Price,City,Date
ORD1001,Backpack,Accessories,1,1629.0,Hyderabad,2026-03-04
ORD1002,Keyboard,Electronics,2,1570.94,Surat,2026-01-23
ORD1003,Book,Books,4,407.86,Mumbai,2026-02-25
ORD1004,Keyboard,Electronics,5,1530.61,Surat,2026-02-20
ORD1005,Tablet,Electronics,5,27549.31,Jaipur,2026-05-31
ORD1006,T-Shirt,Fashion,1,840.36,Delhi,2026-06-28
ORD1007,Watch,Accessories,3,4776.92,Bangalore,2026-03-28
ORD1008,Smartphone,Electronics,1,17567.74,Pune,2026-03-30
ORD1009,Book,Books,3,477.64,Jaipur,2026-05-18
ORD1010,Smartphone,Electronics,4,16483.68,Hyderabad,2026-06-10
ORD1011,Book,Books,3,456.96,Mumbai,2026-01-12
ORD1012,Backpack,Accessories,2,1898.3,Mumbai,2026-03-01
ORD1013,Air Fryer,Home Appliances,1,6344.16,Jaipur,2026-06-12
ORD1014,Air Fryer,Home Appliances,3,6061.45,Pune,2026-02-23
ORD1015,Backpack,Accessories,3,1872.66,Mumbai,2026-06-05
ORD1016,Backpack,Accessories,2,1812.29,Bangalore,2026-02-11
ORD1017,Mixer,Home Appliances,4,3338.96,Surat,2026-02-26
ORD1018,Backpack,Accessories,3,1923.43,Ahmedabad,2026-02-28
ORD1019,Air Fryer,Home Appliances,1,6896.56,Chennai,2026-03-10
ORD1020,Smartphone,Electronics,2,19487.29,Kolkata,2026-03-22
ORD1021,Keyboard,Electronics,4,1468.69,Jaipur,2026-02-06
ORD1022,T-Shirt,Fashion,2,758.51,Surat,2026-05-18
ORD1023,T-Shirt,Fashion,5,787.56,Kolkata,2026-04-13
ORD1024,Shoes,Fashion,2,2747.56,Delhi,2026-05-11
ORD1025,Mixer,Home Appliances,1,3679.05,Mumbai,2026-02-09
ORD1026,Backpack,Accessories,2,1905.15,Chennai,2026-06-02
ORD1027,Smartphone,Electronics,4,17573.83,Jaipur,2026-05-16
ORD1028,T-Shirt,Fashion,5,856.65,Ahmedabad,2026-06-24
ORD1029,Tablet,Electronics,1,29017.58,Surat,2026-03-10
ORD1030,Jeans,Fashion,3,1843.7,Chennai,2026-02-10
ORD1031,Mixer,Home Appliances,1,3817.67,Hyderabad,2026-05-09
ORD1032,Jeans,Fashion,2,2002.07,Mumbai,2026-06-10
ORD1033,T-Shirt,Fashion,5,816.41,Delhi,2026-04-06
ORD1034,Jeans,Fashion,2,2014.74,Surat,2026-01-01
ORD1035,Book,Books,3,448.97,Mumbai,2026-04-03
ORD1036,Air Fryer,Home Appliances,3,6161.29,Bangalore,2026-05-26
ORD1037,Smartphone,Electronics,1,18834.87,Mumbai,2026-05-17
ORD1038,Jeans,Fashion,2,1850.43,Jaipur,2026-05-21
ORD1039,Headphones,Electronics,3,2212.18,Kolkata,2026-04-19
ORD1040,Keyboard,Electronics,5,1576.58,Bangalore,2026-03-21
ORD1041,Watch,Accessories,3,4937.11,Surat,2026-04-26
ORD1042,Smartphone,Electronics,2,17008.91,Pune,2026-01-06
ORD1043,Book,Books,5,425.71,Bangalore,2026-01-02
ORD1044,Smartphone,Electronics,1,17024.19,Ahmedabad,2026-03-26
ORD1045,Smartphone,Electronics,5,17056.82,Jaipur,2026-02-24
ORD1046,Coffee Maker,Home Appliances,2,4387.62,Kolkata,2026-05-28
ORD1047,Mixer,Home Appliances,2,3699.23,Chennai,2026-02-18
ORD1048,Smartphone,Electronics,1,18572.34,Pune,2026-04-19
ORD1049,Watch,Accessories,4,5362.76,Ahmedabad,2026-06-22
ORD1050,Backpack,Accessories,1,1641.82,Pune,2026-01-28
ORD1051,Keyboard,Electronics,2,1407.06,Jaipur,2026-02-05
ORD1052,Watch,Accessories,2,4777.59,Bangalore,2026-01-20
ORD1053,Mixer,Home Appliances,5,3218.54,Surat,2026-01-04
ORD1054,Smartphone,Electronics,2,16798.72,Jaipur,2026-05-04
ORD1055,Keyboard,Electronics,4,1620.73,Delhi,2026-04-08
ORD1056,Laptop,Electronics,4,52417.23,Jaipur,2026-03-15
ORD1057,Watch,Accessories,5,5160.84,Jaipur,2026-02-09
ORD1058,Keyboard,Electronics,3,1415.31,Ahmedabad,2026-05-29
ORD1059,Tablet,Electronics,5,25541.36,Pune,2026-01-15
ORD1060,Laptop,Electronics,5,54744.67,Surat,2026-02-10
ORD1061,Laptop,Electronics,5,50381.23,Delhi,2026-01-18
ORD1062,Book,Books,1,465.77,Bangalore,2026-04-14
ORD1063,Smartphone,Electronics,5,17086.38,Kolkata,2026-01-11
ORD1064,Book,Books,1,442.73,Kolkata,2026-05-25
ORD1065,Coffee Maker,Home Appliances,3,4565.15,Bangalore,2026-06-21
ORD1066,Tablet,Electronics,3,26536.64,Chennai,2026-02-03
ORD1067,Backpack,Accessories,3,1784.6,Mumbai,2026-01-03
ORD1068,Mixer,Home Appliances,5,3848.92,Mumbai,2026-01-19
ORD1069,Coffee Maker,Home Appliances,2,4204.94,Delhi,2026-03-31
ORD1070,Smartphone,Electronics,2,17530.3,Delhi,2026-04-23
ORD1071,Air Fryer,Home Appliances,5,6764.6,Kolkata,2026-06-17
ORD1072,Coffee Maker,Home Appliances,1,4341.01,Surat,2026-03-18
ORD1073,Backpack,Accessories,1,1958.01,Delhi,2026-03-09
ORD1074,Smartphone,Electronics,1,18872.7,Delhi,2026-03-11
ORD1075,T-Shirt,Fashion,5,752.76,Pune,2026-02-22
ORD1076,Backpack,Accessories,3,1801.95,Hyderabad,2026-01-14
ORD1077,Smartphone,Electronics,4,19185.65,Ahmedabad,2026-01-01
ORD1078,Shoes,Fashion,2,2567.53,Hyderabad,2026-02-11
ORD1079,Tablet,Electronics,4,28289.41,Chennai,2026-05-24
ORD1080,Laptop,Electronics,1,50327.68,Delhi,2026-05-20
ORD1081,Laptop,Electronics,3,55907.61,Delhi,2026-04-21
ORD1082,Headphones,Electronics,1,2115.63,Ahmedabad,2026-04-02
ORD1083,Keyboard,Electronics,2,1550.08,Pune,2026-05-24
ORD1084,Air Fryer,Home Appliances,4,7115.99,Delhi,2026-03-02
ORD1085,Air Fryer,Home Appliances,2,7119.07,Delhi,2026-04-16
ORD1086,Laptop,Electronics,2,57602.21,Pune,2026-04-16
ORD1087,Jeans,Fashion,2,1905.77,Mumbai,2026-04-08
ORD1088,Air Fryer,Home Appliances,1,6966.17,Bangalore,2026-02-21
ORD1089,Air Fryer,Home Appliances,4,6304.56,Bangalore,2026-02-27
ORD1090,Laptop,Electronics,2,53883.13,Hyderabad,2026-01-18
ORD1091,Jeans,Fashion,3,1939.49,Surat,2026-04-13
ORD1092,Backpack,Accessories,5,1739.21,Ahmedabad,2026-01-30
ORD1093,T-Shirt,Fashion,2,811.88,Hyderabad,2026-01-10
ORD1094,Smartphone,Electronics,5,17764.43,Pune,2026-04-22
ORD1095,Book,Books,5,415.41,Kolkata,2026-02-18
ORD1096,T-Shirt,Fashion,1,832.36,Ahmedabad,2026-05-14
ORD1097,Jeans,Fashion,5,2073.71,Bangalore,2026-04-04
ORD1098,Watch,Accessories,1,5447.78,Pune,2026-06-09
ORD1099,Shoes,Fashion,1,2608.83,Hyderabad,2026-05-10
ORD1100,T-Shirt,Fashion,4,771.22,Hyderabad,2026-05-22
ORD1101,Headphones,Electronics,2,2165.0,Chennai,2026-06-23
ORD1102,Tablet,Electronics,2,28646.88,Hyderabad,2026-04-14
ORD1103,Coffee Maker,Home Appliances,1,4035.25,Bangalore,2026-04-21
ORD1104,Jeans,Fashion,5,2041.64,Pune,2026-04-30
ORD1105,Mixer,Home Appliances,4,3622.94,Surat,2026-05-02
ORD1106,Jeans,Fashion,2,2062.51,Hyderabad,2026-05-12
ORD1107,Backpack,Accessories,5,1740.67,Bangalore,2026-06-22
ORD1108,T-Shirt,Fashion,2,847.99,Delhi,2026-01-07
ORD1109,Laptop,Electronics,2,60323.3,Kolkata,2026-01-19
ORD1110,Mixer,Home Appliances,4,3770.3,Kolkata,2026-02-19
ORD1111,Tablet,Electronics,4,27968.51,Bangalore,2026-02-07
ORD1112,Backpack,Accessories,1,1941.36,Mumbai,2026-04-19
ORD1113,Keyboard,Electronics,2,1591.23,Surat,2026-04-29
ORD1114,Laptop,Electronics,5,52241.18,Mumbai,2026-04-27
ORD1115,Headphones,Electronics,4,2273.73,Surat,2026-06-02
ORD1116,Shoes,Fashion,4,2555.3,Surat,2026-04-20
ORD1117,Air Fryer,Home Appliances,5,6429.69,Delhi,2026-05-02
ORD1118,Mixer,Home Appliances,3,3676.24,Hyderabad,2026-05-14
ORD1119,Mixer,Home Appliances,2,3342.22,Mumbai,2026-03-15
ORD1120,Keyboard,Electronics,3,1450.75,Surat,2026-01-21
ORD1121,Headphones,Electronics,2,2081.76,Delhi,2026-02-24
ORD1122,Smartphone,Electronics,4,17667.36,Surat,2026-04-30
ORD1123,Watch,Accessories,1,4705.89,Chennai,2026-04-10
ORD1124,Jeans,Fashion,5,2177.34,Ahmedabad,2026-05-28
ORD1125,Watch,Accessories,4,4504.99,Pune,2026-03-18
ORD1126,Jeans,Fashion,4,2140.31,Chennai,2026-05-18
ORD1127,Tablet,Electronics,5,29679.26,Bangalore,2026-05-05
